res_id,type,cuisines 1,cuisines 2,cuisines 3,cuisines 4,cuisines 5,cuisines 6,cuisines 7,cuisines 8,city,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,photo_count,delivery,state
3400299,Quick Bites,North Indian,South Indian,Mithai,Street Food,Desserts,,,,Agra,27.21145,78.00238056,700,2,4.4,814,154,0,Uttar Pradesh
3400005,Quick Bites,North Indian,Mughlai,Rolls,Chinese,Fast Food,Street Food,,,Agra,27.1605689,78.0115831,600,2,4.4,1203,161,0,Uttar Pradesh
3401013,Quick Bites,Fast Food,Mithai,,,,,,,Agra,27.18293767,77.97968365,300,1,4.2,801,107,1,Uttar Pradesh
3400290,Quick Bites,Desserts,Bakery,Fast Food,South Indian,,,,,Agra,27.20566794,78.00479852,300,1,4.3,693,157,1,Uttar Pradesh
3401744,Casual Dining,North Indian,Continental,Italian,,,,,,Agra,27.1577095,78.0524211,1000,3,4.9,470,291,1,Uttar Pradesh
3400275,Quick Bites,Pizza,Fast Food,,,,,,,Agra,27.20151564,78.00755583,400,2,4,707,62,0,Uttar Pradesh
3400296,Quick Bites,North Indian,Fast Food,Chinese,South Indian,,,,,Agra,27.22217513,78.01017366,500,2,4.2,647,46,1,Uttar Pradesh
3400368,Quick Bites,Pizza,Fast Food,,,,,,,Agra,27.20393,77.95426,400,2,3.8,617,18,0,Uttar Pradesh
3401284,Bakery,Bakery,Fast Food,,,,,,,Agra,27.2041478,78.0090248,500,2,3.4,322,14,1,Uttar Pradesh
3400838,Café,Cafe,Chinese,Continental,Italian,Bakery,Desserts,,,Agra,27.15824318,78.04559089,1000,3,4.4,289,324,1,Uttar Pradesh
3400868,Casual Dining,Continental,North Indian,Chinese,,,,,,Agra,27.1900415,78.024693,1200,3,4.4,683,229,1,Uttar Pradesh
3400425,Casual Dining,North Indian,South Indian,Mithai,Street Food,Desserts,,,,Agra,27.15854865,78.04522712,700,2,4.4,523,162,1,Uttar Pradesh
3400105,Casual Dining,Pizza,Fast Food,Italian,,,,,,Agra,27.16137213,78.03489994,700,2,4.1,626,99,0,Uttar Pradesh
3400457,Dhaba,North Indian,,,,,,,,Agra,27.195836,77.998213,300,1,4.1,361,9,1,Uttar Pradesh
3400282,Casual Dining,North Indian,South Indian,Chinese,Bakery,Continental,,,,Agra,27.19960568,78.00452828,700,2,4.1,474,52,1,Uttar Pradesh
3400611,Quick Bites,Pizza,Fast Food,,,,,,,Agra,27.21294252,78.02654894,400,2,3.5,490,17,0,Uttar Pradesh
3400017,Casual Dining,North Indian,Chinese,Mughlai,,,,,,Agra,27.20173481,78.00762456,1600,4,4.6,915,105,1,Uttar Pradesh
3400279,Quick Bites,Burger,Fast Food,,,,,,,Agra,27.20136565,78.00874572,500,2,4.3,837,45,0,Uttar Pradesh
3400010,Casual Dining,Desserts,North Indian,South Indian,Chinese,Fast Food,Street Food,,,Agra,27.1620096,78.03799622,400,2,4.1,362,86,0,Uttar Pradesh
3400712,Quick Bites,Fast Food,Wraps,Desserts,Beverages,,,,,Agra,27.1971028,77.9981701,300,1,4.4,490,77,1,Uttar Pradesh
3400297,Quick Bites,Mithai,Chinese,Fast Food,Street Food,South Indian,Bakery,,,Agra,27.21911438,78.00850466,250,1,3.9,417,52,1,Uttar Pradesh
3400370,Casual Dining,Pizza,Fast Food,Italian,,,,,,Agra,27.20315272,77.95548309,700,2,3.9,376,54,1,Uttar Pradesh
